date,open,high,low,close,volume,dividends,splits,symbol,Sector,Industry,return,ma5,ma20,ma50,volatility,volume_ma20,day_of_week,month,year,next_day_close,price_up
2020-04-29 00:00:00-04:00,108.59841721170149,111.32473182239215,107.23525237006224,110.8802261352539,20139800,0.0,0.0,DIS,Communication Services,Entertainment,0.056868455654197625,104.05652160644532,100.96323471069336,105.23259368896484,0.029654982461591078,17957955.0,2,4,2020,106.83026123046875,0
2020-04-30 00:00:00-04:00,108.10452043388035,108.9638991146669,105.55600202705715,106.83026123046875,18638700,0.0,0.0,DIS,Communication Services,Entertainment,-0.03652558301824649,105.46907196044921,101.61666297912598,104.57768432617188,0.030801964228768637,17974695.0,3,4,2020,104.21259307861328,0
2020-05-01 00:00:00-04:00,105.06209917959836,105.60539059405176,103.19516328090396,104.21259307861328,13209100,0.0,0.0,DIS,Communication Services,Entertainment,-0.024503058606290207,106.32055358886718,102.03795852661133,103.88879470825195,0.03137109876840235,17938325.0,4,5,2020,101.92091369628906,0
2020-05-04 00:00:00-04:00,100.76519280028991,102.56298337283118,99.32300981671673,101.92091369628906,19514800,0.0,0.0,DIS,Communication Services,Entertainment,-0.02199042663294526,105.7515853881836,102.49728469848633,103.18172958374024,0.03083871948839928,18173335.0,0,5,2020,99.82677459716797,0
2020-05-05 00:00:00-04:00,100.27128782321854,103.89650144714436,99.66873097674332,99.82677459716797,30169800,0.0,0.0,DIS,Communication Services,Entertainment,-0.020546706492068467,104.7341537475586,102.57038154602051,102.55052734375,0.028392903932965008,18661455.0,1,5,2020,99.64897155761719,0
2020-05-06 00:00:00-04:00,100.24165586344076,103.9854003465485,97.65362467506574,99.64897155761719,51992400,0.0,0.0,DIS,Communication Services,Entertainment,-0.0017811157404240552,102.48790283203125,102.55260162353515,102.01099243164063,0.02815975851705881,20116095.0,2,5,2020,104.28174591064453,1
2020-05-07 00:00:00-04:00,100.60713926854875,104.32125870141155,100.58738664131236,104.28174591064453,20868800,0.0,0.0,DIS,Communication Services,Entertainment,0.04649093995263831,101.9781997680664,102.77485618591308,101.65953430175782,0.029991492837964474,20031410.0,3,5,2020,107.82794189453125,1
2020-05-08 00:00:00-04:00,107.71928360373396,107.84769452181519,105.32880874248774,107.82794189453125,24079700,0.0,0.0,DIS,Communication Services,Entertainment,0.03400591304757539,102.70126953125,103.00501365661621,101.48410171508789,0.029995296232373018,19662715.0,4,5,2020,106.45489501953125,0
2020-05-11 00:00:00-04:00,107.07721204421969,107.48220495486846,105.11149783548397,106.45489501953125,20555900,0.0,0.0,DIS,Communication Services,Entertainment,-0.012733683411513153,103.60806579589844,103.21590843200684,101.28891296386719,0.030071150016396736,19825210.0,0,5,2020,103.28406524658203,0
2020-05-12 00:00:00-04:00,107.72915232062452,108.10452005232739,103.21491974910424,103.28406524658203,17049700,0.0,0.0,DIS,Communication Services,Entertainment,-0.029785664363930486,104.29952392578124,103.14330520629883,100.98427627563477,0.030426225396816383,19684350.0,1,5,2020,101.66407775878906,0
